0,1,2,3,4,5,6,7,8,9
"['cooperate', 'cooperate', 'cooperate', 'cooperate']","['cooperate', 'cooperate', 'cooperate', 'cooperate']","['cooperate', 'cooperate', 'cooperate', 'cooperate']","['cooperate', 'cooperate', 'cooperate', 'cooperate']","['cooperate', 'cooperate', 'cooperate', 'cooperate']","['cooperate', 'cooperate', 'cooperate', 'cooperate']","['cooperate', 'cooperate', 'cooperate', 'cooperate']","['cooperate', 'cooperate', 'cooperate', 'cooperate']","['cooperate', 'cooperate', 'cooperate', 'cooperate']","['cooperate', 'cooperate', 'cooperate', 'cooperate']"
"['cooperate', 'cooperate', 'cooperate', 'cooperate']","['cooperate', 'cooperate', 'cooperate', 'cooperate']","['cooperate', 'cooperate', 'cooperate', 'cooperate']","['cooperate', 'cooperate', 'cooperate', 'cooperate']","['cooperate', 'cooperate', 'cooperate', 'cooperate']","['cooperate', 'cooperate', 'cooperate', 'cooperate']","['cooperate', 'cooperate', 'cooperate', 'cooperate']","['cooperate', 'cooperate', 'cooperate', 'cooperate']","['cooperate', 'cooperate', 'cooperate', 'cooperate']","['cooperate', 'cooperate', 'cooperate', 'cooperate']"
"['cooperate', 'cooperate', 'cooperate', 'cooperate']","['cooperate', 'cooperate', 'cooperate', 'cooperate']","['cooperate', 'cooperate', 'cooperate', 'cooperate']","['cooperate', 'cooperate', 'cooperate', 'cooperate']","['cooperate', 'cooperate', 'cooperate', 'cooperate']","['cooperate', 'cooperate', 'cooperate', 'cooperate']","['cooperate', 'cooperate', 'cooperate', 'cooperate']","['cooperate', 'cooperate', 'cooperate', 'cooperate']","['cooperate', 'cooperate', 'cooperate', 'cooperate']","['cooperate', 'cooperate', 'cooperate', 'cooperate']"
"['cooperate', 'cooperate', 'cooperate', 'cooperate']","['cooperate', 'cooperate', 'cooperate', 'cooperate']","['cooperate', 'cooperate', 'cooperate', 'cooperate']","['cooperate', 'cooperate', 'cooperate', 'cooperate']","['cooperate', 'cooperate', 'cooperate', 'cooperate']","['cooperate', 'cooperate', 'cooperate', 'cooperate']","['cooperate', 'cooperate', 'cooperate', 'cooperate']","['cooperate', 'cooperate', 'cooperate', 'cooperate']","['cooperate', 'cooperate', 'cooperate', 'cooperate']","['cooperate', 'cooperate', 'cooperate', 'cooperate']"
"['cooperate', 'cooperate', 'cooperate', 'cooperate']","['cooperate', 'cooperate', 'cooperate', 'cooperate']","['cooperate', 'cooperate', 'cooperate', 'cooperate']","['cooperate', 'cooperate', 'cooperate', 'cooperate']","['cooperate', 'cooperate', 'cooperate', 'cooperate']","['cooperate', 'cooperate', 'cooperate', 'cooperate']","['cooperate', 'cooperate', 'cooperate', 'cooperate']","['cooperate', 'cooperate', 'cooperate', 'cooperate']","['cooperate', 'cooperate', 'cooperate', 'cooperate']","['cooperate', 'cooperate', 'cooperate', 'cooperate']"
"['cooperate', 'cooperate', 'cooperate', 'cooperate']","['cooperate', 'cooperate', 'cooperate', 'cooperate']","['cooperate', 'cooperate', 'cooperate', 'cooperate']","['cooperate', 'cooperate', 'cooperate', 'cooperate']","['cooperate', 'cooperate', 'cooperate', 'cooperate']","['cooperate', 'cooperate', 'cooperate', 'cooperate']","['cooperate', 'cooperate', 'cooperate', 'cooperate']","['cooperate', 'cooperate', 'cooperate', 'cooperate']","['cooperate', 'cooperate', 'cooperate', 'cooperate']","['cooperate', 'cooperate', 'cooperate', 'cooperate']"
"['cooperate', 'cooperate', 'cooperate', 'cooperate']","['cooperate', 'cooperate', 'defect', 'cooperate']","['defect', 'defect', 'defect', 'cooperate']","['defect', 'cooperate', 'cooperate', 'cooperate']","['defect', 'defect', 'defect', 'defect']","['defect', 'defect', 'defect', 'defect']","['defect', 'defect', 'defect', 'defect']","['defect', 'defect', 'defect', 'defect']","['defect', 'defect', 'defect', 'defect']","['defect', 'defect', 'defect', 'defect']"
"['cooperate', 'cooperate', 'cooperate', 'cooperate']","['cooperate', 'cooperate', 'cooperate', 'cooperate']","['cooperate', 'cooperate', 'cooperate', 'cooperate']","['cooperate', 'cooperate', 'cooperate', 'cooperate']","['cooperate', 'cooperate', 'cooperate', 'cooperate']","['cooperate', 'cooperate', 'cooperate', 'cooperate']","['cooperate', 'cooperate', 'cooperate', 'cooperate']","['cooperate', 'cooperate', 'cooperate', 'cooperate']","['cooperate', 'cooperate', 'cooperate', 'cooperate']","['cooperate', 'cooperate', 'cooperate', 'cooperate']"
"['cooperate', 'cooperate', 'cooperate', 'cooperate']","['cooperate', 'cooperate', 'defect', 'cooperate']","['defect', 'cooperate', 'cooperate', 'cooperate']","['defect', 'defect', 'defect', 'defect']","['defect', 'defect', 'defect', 'defect']","['defect', 'defect', 'defect', 'defect']","['defect', 'defect', 'defect', 'defect']","['defect', 'defect', 'defect', 'defect']","['defect', 'defect', 'defect', 'defect']","['defect', 'defect', 'defect', 'defect']"
"['cooperate', 'cooperate', 'cooperate', 'cooperate']","['cooperate', 'cooperate', 'cooperate', 'cooperate']","['cooperate', 'cooperate', 'cooperate', 'cooperate']","['cooperate', 'cooperate', 'cooperate', 'cooperate']","['cooperate', 'cooperate', 'cooperate', 'cooperate']","['cooperate', 'cooperate', 'cooperate', 'cooperate']","['cooperate', 'cooperate', 'cooperate', 'cooperate']","['cooperate', 'cooperate', 'cooperate', 'cooperate']","['cooperate', 'cooperate', 'cooperate', 'cooperate']","['cooperate', 'cooperate', 'cooperate', 'cooperate']"
