0,1,2,3,4
cooperate,cooperate,cooperate,cooperate,cooperate
cooperate,cooperate,cooperate,cooperate,cooperate
defect,cooperate,cooperate,cooperate,cooperate
cooperate,cooperate,cooperate,cooperate,cooperate
cooperate,cooperate,cooperate,cooperate,cooperate
cooperate,cooperate,cooperate,cooperate,cooperate
cooperate,cooperate,cooperate,cooperate,cooperate
cooperate,cooperate,cooperate,cooperate,cooperate
cooperate,cooperate,cooperate,cooperate,cooperate
cooperate,cooperate,cooperate,cooperate,cooperate
