0,1,2,3,4,5,6,7,8,9
defect,cooperate,defect,defect,defect,defect,defect,defect,defect,defect
defect,cooperate,defect,defect,defect,defect,defect,defect,defect,defect
defect,defect,defect,defect,defect,defect,defect,defect,defect,defect
defect,defect,defect,defect,defect,defect,defect,defect,defect,defect
defect,defect,defect,defect,defect,defect,defect,defect,defect,defect
defect,defect,defect,defect,defect,defect,defect,defect,defect,defect
defect,defect,defect,defect,defect,defect,defect,defect,defect,defect
defect,defect,defect,defect,defect,defect,defect,defect,defect,defect
defect,cooperate,defect,defect,defect,defect,defect,defect,defect,defect
defect,defect,defect,defect,defect,defect,defect,defect,defect,defect
