0,1,2,3
cooperate,cooperate,cooperate,cooperate
cooperate,cooperate,cooperate,defect
cooperate,cooperate,cooperate,cooperate
cooperate,cooperate,cooperate,cooperate
cooperate,cooperate,cooperate,cooperate
cooperate,cooperate,cooperate,cooperate
cooperate,cooperate,cooperate,cooperate
cooperate,cooperate,cooperate,cooperate
cooperate,cooperate,cooperate,cooperate
cooperate,cooperate,cooperate,cooperate
cooperate,cooperate,cooperate,cooperate
cooperate,cooperate,cooperate,cooperate
cooperate,cooperate,cooperate,cooperate
cooperate,cooperate,cooperate,cooperate
cooperate,cooperate,cooperate,cooperate
cooperate,cooperate,cooperate,cooperate
cooperate,cooperate,defect,cooperate
cooperate,cooperate,cooperate,cooperate
cooperate,cooperate,cooperate,cooperate
cooperate,cooperate,cooperate,defect
